vidid,Predicted
VID_1054,1
VID_18629,1
VID_13967,1
VID_19442,1
VID_770,1
VID_10315,1
VID_7417,2
VID_17788,1
VID_14591,2
VID_1228,2
VID_10153,1
VID_5667,1
VID_22775,1
VID_8353,1
VID_486,1
VID_17460,1
VID_5867,1
VID_15951,1
VID_14890,1
VID_7219,11
VID_20045,1
VID_11874,2
VID_1208,1
VID_4529,1
VID_6793,1
VID_18254,1
VID_11155,1
VID_12257,3
VID_4207,1
VID_23276,1
VID_18261,1
VID_11536,1
VID_6429,4
VID_9277,1
VID_517,1
VID_11291,1
VID_11265,1
VID_632,1
VID_13587,1
VID_16439,1
VID_14888,15
VID_3207,5
VID_9352,1
VID_3286,5
VID_19592,2
VID_15582,1
VID_15269,1
VID_5703,1
VID_22315,3
VID_14939,1
VID_18277,2
VID_1684,1
VID_14842,1
VID_635,1
VID_19621,1
VID_2006,4
VID_2427,2
VID_3232,1
VID_17944,1
VID_19507,1
VID_6745,1
VID_8446,1
VID_17593,1
VID_21611,1
VID_16242,1
VID_23409,1
VID_22950,2
VID_15401,1
VID_7634,3
VID_4283,1
VID_20020,2
VID_13334,1
VID_17504,1
VID_22854,1
VID_4396,1
VID_7426,1
VID_1941,2
VID_22447,1
VID_13156,1
VID_6361,8
VID_1601,4
VID_5787,4
VID_15044,1
VID_18511,1
VID_17965,1
VID_20023,1
VID_20294,1
VID_4284,1
VID_6333,1
VID_4459,1
VID_7896,1
VID_14003,1
VID_22518,1
VID_12272,1
VID_1002,1
VID_2801,1
VID_85,1
VID_17535,1
VID_16710,1
VID_7899,1
VID_3336,2
VID_966,3
VID_15920,1
VID_9048,1
VID_10819,1
VID_9004,1
VID_8038,1
VID_22273,27
VID_9597,1
VID_405,1
VID_6857,1
VID_745,8
VID_22181,1
VID_2452,1
VID_16534,16
VID_8504,1
VID_6211,1
VID_7421,1
VID_19004,1
VID_21560,2
VID_6904,1
VID_10068,1
VID_3831,17
VID_523,1
VID_21181,1
VID_9556,1
VID_1140,3
VID_18078,1
VID_13326,1
VID_21883,1
VID_18044,1
VID_11715,1
VID_7741,1
VID_23167,1
VID_4147,1
VID_12377,13
VID_16014,1
