vidid,Predicted
VID_1054,2
VID_18629,2
VID_13967,2
VID_19442,2
VID_770,2
VID_10315,2
VID_7417,2
VID_17788,2
VID_14591,2
VID_1228,2
VID_10153,2
VID_5667,2
VID_22775,2
VID_8353,2
VID_486,2
VID_17460,2
VID_5867,2
VID_15951,2
VID_14890,2
VID_7219,2
VID_20045,2
VID_11874,2
VID_1208,2
VID_4529,2
VID_6793,2
VID_18254,2
VID_11155,2
VID_12257,2
VID_4207,2
VID_23276,2
VID_18261,2
VID_11536,2
VID_6429,2
VID_9277,2
VID_517,2
VID_11291,2
VID_11265,2
VID_632,2
VID_13587,2
VID_16439,2
VID_14888,2
VID_3207,2
VID_9352,2
VID_3286,2
VID_19592,2
VID_15582,2
VID_15269,2
VID_5703,2
VID_22315,2
VID_14939,2
VID_18277,2
VID_1684,2
VID_14842,2
VID_635,2
VID_19621,2
VID_2006,2
VID_2427,2
VID_3232,2
VID_17944,2
VID_19507,2
VID_6745,2
VID_8446,2
VID_17593,2
VID_21611,2
VID_16242,2
VID_23409,2
VID_22950,2
VID_15401,2
VID_7634,2
VID_4283,2
VID_20020,2
VID_13334,2
VID_17504,2
VID_22854,2
VID_4396,2
VID_7426,2
VID_1941,2
VID_22447,2
VID_13156,2
VID_6361,2
VID_1601,2
VID_5787,2
VID_15044,2
VID_18511,2
VID_17965,2
VID_20023,2
VID_20294,2
VID_4284,2
VID_6333,2
VID_4459,2
VID_7896,2
VID_14003,2
VID_22518,2
VID_12272,2
VID_1002,2
VID_2801,2
VID_85,2
VID_17535,2
VID_16710,2
VID_7899,2
VID_3336,2
VID_966,2
VID_15920,2
VID_9048,2
VID_10819,2
VID_9004,2
VID_8038,2
VID_22273,2
VID_9597,2
VID_405,2
VID_6857,2
VID_745,2
VID_22181,2
VID_2452,2
VID_16534,2
VID_8504,2
VID_6211,2
VID_7421,2
VID_19004,2
VID_21560,2
VID_6904,2
VID_10068,2
VID_3831,2
VID_523,2
VID_21181,2
VID_9556,2
VID_1140,2
VID_18078,2
VID_13326,2
VID_21883,2
VID_18044,2
VID_11715,2
VID_7741,2
VID_23167,2
VID_4147,2
VID_12377,2
VID_16014,2
VID_21928,2
VID_22002,2
VID_19194,2
VID_17892,2
VID_19234,2
