vidid,Predicted
VID_1054,2.0
VID_18629,3.0
VID_13967,1.0
VID_19442,3.0
VID_770,4.0
VID_10315,2.0
VID_7417,1.0
VID_17788,1.0
VID_14591,2.0
VID_1228,2.0
VID_10153,3.0
VID_5667,2.0
VID_22775,1.0
VID_8353,1.0
VID_486,2.0
VID_17460,1.0
VID_5867,2.0
VID_15951,2.0
VID_14890,1.0
VID_7219,2.0
VID_20045,1.0
VID_11874,1.0
VID_1208,2.0
VID_4529,2.0
VID_6793,2.0
VID_18254,1.0
VID_11155,1.0
VID_12257,5.0
VID_4207,2.0
VID_23276,1.0
VID_18261,2.0
VID_11536,2.0
VID_6429,3.0
VID_9277,1.0
VID_517,2.0
VID_11291,4.0
VID_11265,2.0
VID_632,2.0
VID_13587,5.0
VID_16439,1.0
VID_14888,11.0
VID_3207,8.0
VID_9352,1.0
VID_3286,3.0
VID_19592,1.0
VID_15582,2.0
VID_15269,2.0
VID_5703,3.0
VID_22315,6.0
VID_14939,2.0
VID_18277,1.0
VID_1684,2.0
VID_14842,2.0
VID_635,2.0
VID_19621,1.0
VID_2006,2.0
VID_2427,2.0
VID_3232,2.0
VID_17944,4.0
VID_19507,1.0
VID_6745,2.0
VID_8446,1.0
VID_17593,2.0
VID_21611,1.0
VID_16242,2.0
VID_23409,1.0
VID_22950,1.0
VID_15401,2.0
VID_7634,2.0
VID_4283,2.0
VID_20020,1.0
VID_13334,2.0
VID_17504,1.0
VID_22854,2.0
VID_4396,3.0
VID_7426,2.0
VID_1941,2.0
VID_22447,1.0
VID_13156,2.0
VID_6361,2.0
VID_1601,6.0
VID_5787,2.0
VID_15044,1.0
VID_18511,2.0
VID_17965,5.0
VID_20023,1.0
VID_20294,2.0
VID_4284,2.0
VID_6333,3.0
VID_4459,2.0
VID_7896,2.0
VID_14003,1.0
VID_22518,1.0
VID_12272,2.0
VID_1002,2.0
VID_2801,2.0
VID_85,2.0
VID_17535,2.0
VID_16710,2.0
VID_7899,2.0
VID_3336,2.0
VID_966,5.0
VID_15920,1.0
VID_9048,3.0
VID_10819,1.0
VID_9004,4.0
VID_8038,1.0
VID_22273,3.0
VID_9597,1.0
VID_405,2.0
VID_6857,3.0
VID_745,8.0
VID_22181,1.0
VID_2452,2.0
VID_16534,7.0
VID_8504,2.0
VID_6211,2.0
VID_7421,2.0
VID_19004,1.0
VID_21560,1.0
VID_6904,2.0
VID_10068,6.0
VID_3831,10.0
VID_523,2.0
VID_21181,3.0
VID_9556,1.0
VID_1140,4.0
VID_18078,2.0
VID_13326,1.0
VID_21883,2.0
VID_18044,2.0
VID_11715,2.0
VID_7741,2.0
VID_23167,1.0
VID_4147,2.0
VID_12377,2.0
VID_16014,2.0
VID_21928,2.0
VID_22002,1.0
VID_19194,2.0
VID_17892,1.0
VID_19234,1.0
VID_1790,2.0
VID_7878,2.0
VID_6945,1.0
VID_17600,2.0
VID_7502,2.0
VID_11761,1.0
VID_578,2.0
VID_2068,2.0
VID_10591,2.0
VID_1300,3.0
VID_2950,2.0
VID_12930,1.0
VID_22247,1.0
VID_4330,2.0
VID_14398,3.0
VID_8506,2.0
VID_12462,2.0
VID_21697,1.0
VID_14574,3.0
VID_14171,7.0
VID_22620,1.0
VID_5642,2.0
VID_12689,2.0
VID_3676,2.0
VID_23515,1.0
VID_11336,1.0
VID_8360,4.0
VID_14293,3.0
VID_7088,3.0
VID_11588,2.0
VID_12193,1.0
VID_18944,1.0
VID_14220,2.0
VID_2589,2.0
VID_17644,5.0
VID_20263,1.0
VID_15204,4.0
VID_6855,3.0
VID_19306,1.0
VID_20132,1.0
VID_18477,2.0
VID_4562,1.0
VID_17001,1.0
VID_6858,3.0
VID_20250,2.0
VID_22484,1.0
VID_2358,2.0
VID_17132,1.0
VID_19635,2.0
VID_20188,1.0
VID_1272,4.0
VID_2390,2.0
VID_10914,2.0
VID_9647,1.0
VID_11219,1.0
VID_13260,1.0
VID_21600,1.0
VID_12441,15.0
VID_15261,5.0
VID_11540,3.0
VID_20101,3.0
VID_3909,2.0
VID_14409,1.0
VID_10430,2.0
VID_8148,2.0
VID_9579,1.0
VID_12302,5.0
VID_7161,2.0
VID_17471,1.0
VID_13296,2.0
VID_1935,3.0
VID_23277,1.0
VID_20389,1.0
VID_2988,2.0
VID_5453,1.0
VID_6553,2.0
VID_18356,2.0
VID_15268,1.0
VID_21503,3.0
VID_6901,2.0
VID_5796,2.0
VID_21475,20.0
VID_19600,1.0
VID_7977,2.0
VID_4704,1.0
VID_20858,4.0
VID_23644,1.0
VID_12962,1.0
VID_4894,2.0
VID_4803,2.0
VID_8408,2.0
VID_12226,4.0
VID_1299,2.0
VID_7721,1.0
VID_1919,2.0
VID_23316,2.0
VID_17849,1.0
VID_1313,7.0
VID_9117,1.0
VID_9152,1.0
VID_15543,2.0
VID_11505,2.0
VID_647,2.0
VID_2236,2.0
VID_14118,3.0
VID_1225,3.0
VID_11257,2.0
VID_13130,2.0
VID_12580,2.0
VID_860,2.0
VID_14251,2.0
VID_6476,3.0
VID_13070,2.0
VID_4623,3.0
VID_13599,1.0
VID_11705,2.0
VID_11736,1.0
VID_14145,2.0
VID_13264,1.0
VID_10476,2.0
VID_22755,1.0
VID_13294,2.0
VID_964,3.0
VID_23498,1.0
VID_12090,2.0
VID_7494,2.0
VID_141,3.0
VID_242,2.0
VID_8088,9.0
VID_10154,13.0
VID_3878,3.0
VID_4799,1.0
VID_12287,2.0
VID_15607,2.0
VID_9974,3.0
VID_20032,1.0
VID_9920,2.0
VID_7959,2.0
